Text,Label,SubLabel
@sc20200 ક્યાં ધર્મ ના 10 આતંકવાદી આવ્યા હતા ?? અને ક્યાં દેશ થિ આવ્યા હતા ??,Hostile,Defamation 
ભાજપાવાલા કોંગનાં નેતાઓને દેશવિરોધી આતંકવાદી કહે છે પછી ભાજપામાં ભરતી કરે છે. ઢાંકણીમાં પાણી લઈને ડૂબી મરવું જોઈએ.,Hostile,Offensive 
J&amp;Kમાં આતંકવાદી સાથેની અથડામણમાં મહારાષ્ટ્રનો જવાન શહીદ https://t.co/Afd89nhpI7,Hostile,Defamation 
"કાશ્મીર પોલીસને મળી મોટી સફળતા. #TRF ના બે આતંકવાદી હથિયારો સાથે ઝડપાયા, બંને આતંકવાદીઓની ચનાપોરાથી ધરપકડ કરાઈ.

@KashmirPolice #KashmirAgainstTerror #VibesOfIndia https://t.co/gKSDsNNPuU",Hostile,Offensive 
"શ્રીનગર પોલિસે લશ્કરના 2 આતંકીઓને પકડ્યા, ભારે માત્રામાં હથિયારો જપ્ત #jammukashmir #srinagar #police #terrorist #lashkar #જમ્મુકાશ્મીર #શ્રીનગર #પોલિસ #આતંકવાદી #લશ્કર https://t.co/kAtN4IDGEv",Hostile,Hate 
"કેન્દ્રશાસિત પ્રદેશમાં જમ્મુ કાશ્મીર પોલીસે પ્રતિબંધિત આતંકવાદી સંગઠન ધ-રેઝિસ્ટેંન્સ ફ્રન્ટના બે સ્થાનિક આતંવાદીઓની ધરપકડ કરી છે.

#JammuAndKashmir #terririst #Attack https://t.co/XqhCEU8goj",Hostile,Offensive 
"કાશ્મીર પોલીસને મળી મોટી સફળતા! 

- TRFના બે આતંકવાદી હથિયારો સાથે ઝડપાયા, બંને આતંકવાદીઓની ચનાપોરાથી ધરપકડ કરાઈ...

#Kashmir #JammuKashmir #Terrorists #ZEE24kalak https://t.co/6ejZp9LBJ4",Hostile,Offensive 
"RSS એક આતંકવાદી સંગઠન ની જેમ દેશ માટે ઘાતક રુપ ધારણ કરી રહ્યું છે.

કેન્દ્ર સરકાર RSS ઉપર પ્રતિબંધ લગાવે.
સરદાર પટેલે આતંકવાદી સોચ ધરાવતા સંગઠન પર પ્રતિબંધ મુકયો હતો.

MP ના નીમચ માં 65 વર્ષીય વૃદ્ધ ની ભાજપ નેતા દ્રારા હત્યા એ RSS ની આતંકવાદી સોચ બતાવે છે.
@arjunmodhwadia",Hostile,Offensive 
@bjp4_narmada @GJPATEL47 @JPNadda @MansukhbhaiMp @AmitShah @CRPaatil @pradipsinhbjp @narendramodi @sanghaviharsh આતંકવાદ વિરોધી દિવસના દિવસે આપણે આતંકવાદી હુમલામાં જીવ ગુમાવનારા તમામ સૈનિકો અને લોકોને સલામ અને શ્રદ્ધાંજલિ આપીએ.,Hostile,Offensive 
"@KiranVy97674607 તમે આતંકવાદ ને ખત્મ કરવા ની વાત કરો છો, પૂર્વ વડાપ્રધાન ની હત્યા કરનાર બોમ્બ સ્પલાય આતંકવાદી ને કેમ છોડી મુકયો ? એ શું સંદેશ આપે છે મોદી સરકાર ? ભાજપ પોતાનું સ્ટેન્ડ આતંકવાદ મુદ્દે કલીયર કરે. દેશ માફ નહીં કરે.",Hostile,Defamation 
"1993 મુંબઈ બ્લાસ્ટના વોન્ટેડ આરોપીઓની ગુજરાત ATS એ ધરપકડ કરી, આતંકવાદી પ્રવૃત્તિને ડામવા માટેનું ઉત્તમ ઉદાહરણ બેસાડ્યું છે. જે બદલ સમગ્ર ટીમને અભિનંદન.

પોતાને સુરક્ષિત માનીને બેઠેલા વોન્ટેડ આરોપીઓને તાત્કાલિક ધોરણે પકડવા અર્થે ગુજરાત પોલીસ મક્કમ છે. https://t.co/dy0y5GSZrg",Hostile,Offensive 
કેટલાયે કાશ્મીરી પંડિતોની હત્યા કર્યા અને કબુલયા પછી પણ ભારતીય મીડિયા દિલ્હી વાળું તો ખરુજ પણ લોકલ મીડિયા પણ આને અલગાવવાદી કે sepratist leader જ કહે છે.આતંકવાદી કહેવામાં એમને શેનો ડર લાગે છે. https://t.co/LsQQfMwNZH,Hostile,Defamation 
@sanghaviharsh ભાજપ અને ભાજપા ના કાર્ય કરો વિરુદ્ધ સોફ્ટ આતંકવાદી (લવ જેહાદી) પલટન સક્રિય હોય તેમને રોકવા નીતિ બનાવવા અપીલ છે. ભારતમાતા કી જય....,Hostile,Offensive 
"આતંકવાદી ગતિવિધિઓમાં સામેલ હોવાની મલિકની કબૂલાત

https://t.co/nyj90Z2LDj

#YasinMalik #NIA #JammuKashmirSeparatist #TerrorFunding",Hostile,Defamation 
"પાકિસ્તાની સુરક્ષા એજન્સી આઇએસઆઇ અને સરહદ પાર બેઠેલા આતંકવાદી સંગઠનનના લીડર ભારતમાં અશાંતિ ફેલાવવાનો પ્રયત્ન કરી રહ્યા છે. એક દિવસ અગાઉ નાગપુર સ્થિત આરએસએસ મુખ્યાલયની રેકી કરનારા આતંકવાદીની ધરપકડ કરવામાં આવી હતી.
https://t.co/U8uTvmW63O https://t.co/AomvOKeNFC",Hostile,Offensive 
"ધરપકડ થઈ એજ ફર્ક છે સભ્ય સંસ્કૃતિ અને આતંકવાદી સંસ્કૃતિ વચ્ચે, 
બાકી પાછલા દિવસોમાં તો મૃત્યુ કરી નાખ્યા છે આ આતંકવાદીઓ દ્વારા
#Justice_For_Kishan_Bharwad",Hostile,Defamation 
"જેના પાર રાષ્ટ્ર ધ્વજ નું અપમાન કરવા નો કેસ ચાલુ છે એવા લોકો કેમ ભાજપ માં લ્યો છો ??
જો કોંગ્રેસ દેશ દ્રોહી પાટી છે તો તેના જુના નેતાઓ લઈ ને @BJP4Gujarat વાળા પોતાનું આતંકવાદી ગ્રુપ બનાવે છે કે નહિ 😲🤣🙏
@RSSorg અને @BJP4India ની મિક્સ ઔલાદ ઓ તમે સામાન્ય લોકો સર્ટિફિકેટ આપશો?",Hostile,Offensive 
@AshvinNinama1 @sanghaviharsh @Bhupendrapbjp @Hasmukhpatelips @CRPaatil @Hasmukhpatelips @sanghaviharsh @CMOGuj @Gopal_Italia @VikasSahayIPS @shaktisinhgohil આનાથી મોટી દુર્દશા કોની હોય.. લોકશાહી નેવે મૂકી.. બંધારણ નેવે મૂકી ને હવે તો .અમને વિદ્યાર્થી જેવ,Hostile,Offensive 
"@VijayNilel @iamdipak77 ગુગલ કરી લેજો આતંકવાદી ના સમર્થન મા રાત્રે કોર્ટ કોણે ખોલાવી હતી 
ગુજરાત મા ઇશરતજહા ના એન્કાઉન્ટર ઉપર પણ સવાલ કરવા વારા ને ઓડખાણ તો હસે જ ને",Hostile,Defamation 
"તમને કોઈ લાજ શરમ જેવું છે નહીં એટલે આવી ગાંડીઘેલી વાતો કરશો, પણ જો આવી રીતે જ પાર્ટી ખતમ થઈ જતી હોય તો

મહેશભાઈ સવાણીના રાજીનામાંથી જ તમારી AAP તો ક્યારની ખતમ થઈ ગઈ કહેવાય.. 

ને તમને કોંગ્રેસમાં જોડાવાથી કોણે, કયા વ્યક્તિએ રોકેલા? એ પણ યાદ કરજો..",Hostile,Offensive 
"અમે તો કહીએજ છીએ કે આમ આદમી પાર્ટી નો મજબુત વિકલ્પ એટલે ફક્ત ભાજપ.. બીજા કોઇ ક્યાંય ના આવે...😅

ભાઈ ગુજરાતી લખતા શીખો પછી ટવીટ કરો..😂😂 https://t.co/t17D2cD0Za",Hostile,Defamation 
"ગુજરાત માં આમ આદમી પાર્ટી ના કાર્યકરો ના ચંપલ ઘસાઈ જશે પણ આવશે તો ભાજપ જ💪✌️✌️
લખવું હોય તો લખી જ રાખજો 
@ArvindKejriwal @isudan_gadhvi @AAPGujarat",Hostile,Offensive 
@BharatKandori12 @AAPGujarat @isudan_gadhvi આમ આદમી પાર્ટી ને ગુજરાતમાં કોઈ ગાડી પણ આપતુ નથી જનતાનું સમર્થન પણ મળતુ નથી અને એક મોકો જોઈએ છે 😆😆 દેશી પોટલી - ઈશુંદાન ની રેલી,Hostile,Hate 
@Gopal_Italia હાર્દિક પટેલ કોંગ્રેસ પાર્ટી માથી રાજી નામુ આપ્યુ સે જોતે આપ પાર્ટી મા જોડાસે 100 ટકા આમ આદમી પાર્ટી ગુજરાત માં હરસે,Hostile,Offensive 
ગુજરાતની જનતાને ન્યાય અપાવવા માટે લડતા તમામ ક્રાંતિકારી યુવાનોનું સ્વાગત કરવા માટે આમ આદમી પાર્ટી તૈયાર છે.,Hostile,Offensive 
"સમાનતા,સાદગી અને નેતૃત્વનું ઉત્તમ ઉદાહરણ.
આમ આદમી પાર્ટી ના અધ્યક્ષ શ્રી ગોપાલ ઇટાલિયા સાહેબ જે પોતે પેલા કાર્યકર્તા ઓ ને પોતાના હાથ થી જમાડી અને પોતે જમે છે બાકી તો અમુક કોર્પોરેટર બની જાય તો ગાડી પર થી પગ પણ જમીન પર નથી મૂકતા.... https://t.co/JSRGeTmHOR",Hostile,Offensive 
@pradipsinhbjp આપ આવે છે ગુજરાતમાં... હવે તો માત્ર એક જ વિકલ્પ આમ આદમી પાર્ટી... જોડાવા માટે નીચે આપેલ નંબર પર મિસકોલ કરો... દિલ્હી ની જનતા ને સારી સેવા મળે છે આ વિડિયો ફેક છે ધ્યાન આપવું નહિ.. https://t.co/ycwXjVE5LE,Hostile,Offensive 
આમ આદમી પાર્ટી ને ગુજરાતમાં કોઈ ગાડી પણ આપતુ નથી જનતાનું સમર્થન પણ મળતુ નથી અને આને એક મોકો જોઈએ છે 😆😆 ઈશુંદાન ની રેલી #Aap #Gujarat https://t.co/tIaF8bsGJu,Hostile,Defamation 
"આવતી કાલે મુન્દ્રા મધ્યે આવી રહી પરિવર્તન યાત્રા મા સહભાગી થવા સૌ મુન્દ્રા વાસીઓ ને આમ આદમી પાર્ટી વતી ભાવભર્યું આમંત્રણ પાઠવીએ છીએ... 

આવો સૌ સાથે મળી પરિવર્તન ની દિશા મા આગળ વધીએ...

#પરિવર્તન_યાત્રા https://t.co/TZckVcSHyM",Hostile,Offensive 
"કેમ જ્ઞાનવ્યાપી પર આમ આદમી પાર્ટી ના કોઈ નેતાએ પોસ્ટ નથી કરી? 
સત્તા માં ભલે ગમે તેની સરકાર હોય, પણ જો હિન્દુઓની ફેવરમાં ચુકાદો આવે તો આમ આદમી પાર્ટી ને ખુશી કે ગર્વ કેમ નથી થતો?

#GyanvapiTruthNow",Hostile,Defamation 
"ધોતિયા ઢીલા થઈ ગયા છે
આગળ જતા પીળા પણ થય જશે એવુ અત્યાર થી લાગી રહ્યું છે...

#ખોફ_આમ_આદમી_પાર્ટી_નો હવે ભ્રષ્ટાચારીઓ ને લાગી ગયો છે.. https://t.co/LTPm7QGgD5",Hostile,Offensive 
"🙏🙏 "" એક મોકો કેજરીવાલ ને "" 🙏🙏

હવે તો ગામડું પણ બોલી રહ્યું છે કે આ વખતે તો ""આપ"" 

ગામડાની સમૃદ્ધિ માટે મજબૂત વિકલ્પ એટલે આમ આદમી પાર્ટી 

બગસરા તાલુકા ના સનાળીયા તેમજ શિલાણા ગામ ની મુલાકાત લઈ ને ગામડુ બેઠક કરી https://t.co/7TfoFivGuV",Hostile,Defamation 
