,Label
"કેમ જ્ઞાનવ્યાપી પર આમ આદમી પાર્ટી ના કોઈ નેતાએ પોસ્ટ નથી કરી? 
સત્તા માં ભલે ગમે તેની સરકાર હોય, પણ જો હિન્દુઓની ફેવરમાં ચુકાદો આવે તો આમ આદમી પાર્ટી ને ખુશી કે ગર્વ કેમ નથી થતો? એટલે હવે સમજવું શું?????
#GyanvapiTruthNow #hinduvirodhikejriwal #HinduVirodhiAAP @ArvindKejriwal",Non-hostile
"આવતી કાલે મુન્દ્રા મધ્યે આવી રહી પરિવર્તન યાત્રા મા સહભાગી થવા સૌ મુન્દ્રા વાસીઓ ને આમ આદમી પાર્ટી વતી ભાવભર્યું આમંત્રણ પાઠવીએ છીએ... 

આવો સૌ સાથે મળી પરિવર્તન ની દિશા મા આગળ વધીએ...

#પરિવર્તન_યાત્રા https://t.co/SmhHt5g576",Non-hostile
આમ આદમી પાર્ટી મિશન 2022 ભાવનગર શહેર 105 વિધાનસભા વૉર્ડ નંબર 1 અને વોર્ડ નંબર 9 ના બ્લોક ઇન્ચાર્જ મૂકેશ જાદવ ની અઘ્યક્ષ સ્થાને ચિત્રા ફુલસર નારી વોર્ડ નંબર 1માં જન સંવાદ કાર્યક્રમ યોજાયો https://t.co/3Gifqfz0hW,Non-hostile
"157 માંડવી વિધાન સભાની તૈયારી સાથે ઈમાનદાર આમ આદમી પાર્ટી.
ગામ - નિશાણા
તાલુકા - સોનગઢ 
.
રુસ્તમ ભાઈ.
નીમિષા બેન.
સાયના બેન.
જયેશ ભાઈ.
ગુરવ. 
તેજસ. https://t.co/uabuu3nS1R",Non-hostile
"#પરીવર્તન_યાત્રા #આમ_આદમી_પાર્ટી... 🔵🔵🔵
#પરીવર્તન_યાત્રા દીવસ ત્રીજો ભાણવડ ખાતે પાર્ટી ના નેતા શ્રી ઈશુદાન ગઢવી ની આગેવાની મા પરિવર્તન યાત્રા મા મોટી સંખ્યા માં લોકો જોડાયા...
આમ આદમી જાગી ગયા છે હવે પરિવર્તન પાક્કુ છે... https://t.co/C2Fp79KeUu",Non-hostile
"🙏🙏 સંઘર્ષ સંઘર્ષ અને સંઘર્ષ 🙏🙏 સંઘર્ષ હમારા નારા હે થાકી શુ નહી હારી શુ નહી સતત મહેનત અને સંઘર્ષ કરતા રહીશુ ગલી ગલી મે આમ આદમી 🧹🧹બસ એક જ વિકલ્પ આપ આપ અને આપ 🧹🧹
સુરેશભાઈ માલવિયા આમ આદમી પાર્ટી . બગસરા https://t.co/wTCqPC4Dxx",Non-hostile
"#પરીવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵🔵
#પરીવર્તન_યાત્રા દીવસ ત્રીજો નવસારી ખાતે સંગઠન મહામંત્રી શ્રી મનોજભાઈ સોરઠીયા, રાષ્ટ્રીય પરિષદ સદસ્ય (NC Member) શ્રી રાકેશ હિરપરા અને સંગઠન મંત્રી શ્રી રામભાઈ ધડુક ની આગેવાની મા પરિવર્તન યાત્રા મા મોટી સંખ્યા માં લોકો જોડાયા... https://t.co/uuc87I2DxC",Non-hostile
"નવસારી ખાતે આમ આદમી પાર્ટી દ્વારા પરીવર્તન યાત્રાનું આયોજન @AamAadmiParty @AAPGujarat 
Video link
https://t.co/P2u4pPt4UZ",Non-hostile
"#આમ_આદમી_પાર્ટી... 🔵🔵🔵
162 કરંજ વિધાનસભા રણજીત નગર સોસાયટી મા નુક્કડ સભા નુ આયોજન હોવાથી નુક્કડ સભા બાબતે લોકો ને પત્રિકા આપી ને લોકો ને માહિતી આપવામા આવી અને આ સભા મા આવવાં નુ આમંત્રણ આપવામાં આવ્યું... https://t.co/DAlRvNexFr",Non-hostile
"#પરીવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵🔵
દીવસ ત્રીજો નવસારી ખાતે સંગઠન મહામંત્રી શ્રી મનોજભાઈ સોરઠીયા, રાષ્ટ્રીય પરિષદ સદસ્ય (NC Member) શ્રી રાકેશ હિરપરા અને સંગઠન મંત્રી શ્રી રામભાઈ ધડુક દ્વારા બાબાસાહેબ આંબેડકર અને સ્વામી વિવેકાનંદની પ્રતિમાને માલ્યાર્પણ કરવામાં આવ્યું. https://t.co/7YSqQV7O2M",Non-hostile
"આમ આદમી પાર્ટી દ્વારા રાજ્યનાં 6 સ્થળોથી #પરિવર્તન_યાત્રા નું આયોજન.

21 દિવસની #પરિવર્તન_યાત્રા અંતર્ગત ગુજરાતની તમામ 182 વિધાનસભામાં પહોંચીને જનતાનાં પ્રશ્નો સાંભળીશું.

@Gopal_Italia @isudan_gadhvi @AAPGujarat https://t.co/UH0JSHE7KP",Non-hostile
"જનતાને વિશ્વસ્તરીય મફત શિક્ષણ અને આરોગ્ય સેવા, ભ્રષ્ટાચારમુક્ત વાતાવરણ, ખેડૂતો પૂરતું પાણી અને સન્માન, મહિલાઓ માટે ભયમુક્ત વાતાવરણ યુવાઓ માટે રોજગાર વગેરે જનતાનાં મુદ્દાઓ માટે આમ આદમી પાર્ટી પહેલા પણ સંઘર્ષ કરી રહી હતી, કરી રહી છે અને કરતી રહેશે.
@AAPGujarat
#પરિવર્તન_યાત્રા https://t.co/qVscuH9dkZ",Non-hostile
@Gopal_Italia આમ આદમી પાર્ટી જિંદાબાદ ગોપાલ ભાઈ આ લફાંગા બૂટલેગરો ને 2022 ચૂંટણી માં જોઈ લેશે લોકો,Non-hostile
"#આમ_આદમી_પાર્ટી 
#પરીવર્તન_યાત્રા 
ગુજરાત મા આમ આદમી પાર્ટી દ્રારા ગુજરાત ભર માં પરીવર્તન યાત્રા નુ આયોજન કરવામાં આવ્યુ અને આ પરિવર્તન યાત્રા નો આજે ત્રીજો દિવસે ગુજરાત ના અલગ અલગ વિસ્તાર મા પરિવર્તન યાત્રા ફરી રહી છે અને લોકો ને જાગૃત કરી રહી છે આ વખતે ગુજરાત મા પરિવર્તન પાક્કુ. https://t.co/KCxwaMlRo6",Non-hostile
"રાજકીય પક્ષો જનતાને સ્પર્શે એવા મુદ્દા ઉપર ઇલેક્શન લડતા નથી પહેલી એવી આમ આદમી પાર્ટી જનતાના રોજબરોજના તથા સામાન્ય જનતાને સ્પર્શે તેવા મુદ્દાઓને લઇ ચૂંટણી લડે છે..!

#AAP #aamadmiparty https://t.co/ferw1MbtcC",Non-hostile
આમ આદમી પાર્ટી સાવરકુંડલા તાલુકાના યુવા કાર્યકર ઉપપ્રમુખ વિજયભાઈ વેકરીયા નાં ભાઈ નું આજ રોજ અવસાન થયું છે તો ઈશ્વર તેમના આત્મા ને શાંતિ અર્પે અને તેમના પરિવાર ને આ દુઃખ સહન કરવાની શક્તિ આપે તેવી પ્રાર્થના સહ... ૐ શાંતિ https://t.co/c7JjKQYhZT,Non-hostile
આમ આદમી પાર્ટી મોરબી દ્વારા પ્રભાબેન રમેશભાઈને ઉપપ્રમુખની જવાબદારી સોપાઈ https://t.co/gt3O37XWkb,Non-hostile
"આમ આદમી પાર્ટી દ્વારા રાજ્યનાં 6 સ્થળોથી #પરિવર્તન_યાત્રા નું આયોજન.

21 દિવસની #પરિવર્તન_યાત્રા અંતર્ગત ગુજરાતની તમામ 182 વિધાનસભામાં પહોંચીને જનતાનાં પ્રશ્નો સાંભળીશું. https://t.co/meD0dg2W9g",Non-hostile
"#આમ_આદમી_પાર્ટી 
#પરીવર્તન_યાત્રા 
ગુજરાત મા આમ આદમી પાર્ટી દ્રારા ગુજરાત ભર માં પરીવર્તન યાત્રા નુ આયોજન કરવામાં આવ્યુ અને આ પરિવર્તન યાત્રા નો આજે ત્રીજો દિવસે ગુજરાત ના અલગ અલગ વિસ્તાર મા પરિવર્તન યાત્રા ફરી રહી છે અને લોકો ને જાગૃત કરી રહી છે આ વખતે ગુજરાત મા પરિવર્તન પાક્કુ. https://t.co/ZhGrq1Hd3X",Non-hostile
"#પરીવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵🔵
ઈશ્વરના દર્શન કરીને સંગઠન મહામંત્રી શ્રી મનોજભાઈ સોરઠીયા, રાષ્ટ્રીય પરિષદ સદસ્ય (NC Member) શ્રી રાકેશ હિરપરા અને સંગઠન મંત્રી શ્રી રામભાઈ ધડૂકની આગેવાનીમાં દેગામ (ચીખલી)થી પરિવર્તન યાત્રાનો ત્રીજો દિવસ આરંભ... https://t.co/eH9qnHBbys",Non-hostile
આજ રોજ આમ આદમી પાર્ટી દ્વારા મોરબી જિલ્લા પ્રમુખ વસંતભાઈ ગોરિયાના માર્ગદર્શન હેઠળ અને મોરબી શહેર મહિલા પ્રમુખ અલ્પાબેન કક્કડન તથા શૈલેષભાઈ પડસુંબિયા અશોકભાઈ પસુંબિયા આગેવાની હેઠળ મોરબી.વાવડી ગામ વિસ્તારના પ્રભાબેન રમેશભાઈને મોરબી શહેર મહિલા ઉપપ્રમુખની જવાબદારી સોંપવામાં આવી હતી. https://t.co/aS5BB9bbEs,Non-hostile
"જનતાને વિશ્વસ્તરીય મફત શિક્ષણ અને આરોગ્ય સેવા,ભ્રષ્ટાચારમુક્ત વાતાવરણ, ખેડૂતો પૂરતું પાણી અને સન્માન,મહિલાઓ માટે ભયમુક્ત વાતાવરણ યુવાઓ માટે રોજગાર વગેરે જનતાનાં મુદ્દાઓ માટે આમ આદમી પાર્ટી પહેલા પણ સંઘર્ષ કરી રહી હતી,કરી રહી છે અને કરતી રહેશે.
#પરિવર્તન_યાત્રા @CYSSAAPGujarat https://t.co/MYusbSsveg",Non-hostile
"#પરીવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵🔵
ઈશ્વરના દર્શન કરીને સંગઠન મહામંત્રી શ્રી મનોજભાઈ સોરઠીયા, રાષ્ટ્રીય પરિષદ સદસ્ય (NC Member) શ્રી રાકેશ હિરપરા અને સંગઠન મંત્રી શ્રી રામભાઈ ધડૂકની આગેવાનીમાં દેગામ (ચીખલી)થી પરિવર્તન યાત્રાનો ત્રીજો દિવસ આરંભ... https://t.co/INfukvnTpW",Non-hostile
આજરોજ #પરિવર્તન_યાત્રા દરમિયાન નવસારીના અગ્રણી સામાજિક કાર્યકર્તા ભાઈ શ્રી યોગેશભાઈ પટેલ પ્રદેશ સંગઠન મહામંત્રી શ્રી @manoj_sorathiya જી ના હસ્તે ઈમાનદાર 'આમ આદમી પાર્ટી' સાથે જોડાયા. https://t.co/YuvLSsyhB6,Non-hostile
@Janak_Sutariyaa આમ આદમી પાર્ટી ના સ્ટોર માં. 😂,Non-hostile
"આમ આદમી પાર્ટી દ્વારા રાજ્યનાં 6 સ્થળોથી #પરિવર્તન_યાત્રા નું આયોજન.

21 દિવસની #પરિવર્તન_યાત્રા અંતર્ગત ગુજરાતની તમામ 182 વિધાનસભામાં પહોંચીને જનતાનાં પ્રશ્નો સાંભળીશું.

@Gopal_Italia @isudan_gadhvi @AAPGujarat https://t.co/Ssu5h0MlHK",Non-hostile
આમ આદમી પાર્ટી કપડવંજ,Non-hostile
"પરિવર્તન યાત્રા દિવસ - ૩

સિદ્ધપુર થી નીકળેલી @AAPGujarat ની #પરિવર્તન_યાત્રા વડાપ્રધાન શ્રીના વતન વડનગર ખાતે પહોંચી, ખુદ વડાપ્રધાન ના ગામની જનતા મોંઘવારી થી ત્રસ્ત છે, લોકો બદલાવ ઈચ્છી રહ્યા છે, આમ આદમી પાર્ટી ની વિચારધારા થકી પરિવર્તન શક્ય છે એવો ગ્રામજનો નો મંતવ્ય છે. https://t.co/nSv0mKvZAl",Non-hostile
"આમ આદમી પાર્ટી નો એજન્ડા કામ ની રાજનીતિ.
બીજેપી નો એજન્ડા વિરોધપક્ષ ને ભાંગી અને સત્તા ટકાવી રાખવાનો.
#આ_વખતે_આપ #આ_વખતે_ઝાડું https://t.co/XvUWrurJ2A",Non-hostile
@Hasmukhpatelips 2017 આમ આદમી પાર્ટી(AAP) ન હતી અત્યારે છે,Non-hostile
"@AamAadmiParty @HajiYunus_ @BhagwantMann વાહ આ છે આમ આદમી પાર્ટી ની સરકાર, આ છે આમ આદમી પાર્ટી ના મુખ્યમંત્રી #Common_man શ્રી @ArvindKejriwal @BhagwantMann",Non-hostile
આમ આદમી પાર્ટી ની પરિવર્તન યાત્રા માં ઇશુદન ગઢવી સાથે નાગેશ્વર મહાદેવ ના દર્શન કરી ધન્યતા અનુભવી હતી https://t.co/xBO5b7gdAg,Non-hostile
"@RakeshsinhD @ShapariaKetan જ્યારે જ્યારે નેતાઓ નો પગાર વધારો કરવા માટે પ્રસ્તાવ આવે છે ત્યારે ત્યારે કોઈ પણ પાર્ટી ના નેતા દ્વારા વિરોધ નથી કરતો. અરે જેઓ એ આ તમામ સુવિધાઓ ન લેવા નું વચન આપ્યું હતું તેઓ પણ આજે સરકારી હેલિકોપ્ટર, ગાડી અને વિમાની સેવાઓ જેવી",Non-hostile
દ્વારકા જિલ્લામાં 'આપ'' #પરિવર્તન_યાત્રા ભાણવડ મુકામે પહોંચી હતી જ્યાં સહકાર વિભાગના ખેડૂત અગ્રણી કાંતિભાઈ નકુમ ઈમાનદાર 'આમ આદમી પાર્ટી'માં જોડાયા. તેઓએ જનતાને હવે ભાજપને જાકારો આપવાની હાકલ કરી. https://t.co/snZDgD6D7l,Non-hostile
